sold_price,sqft,num_of_rooms,age,dist_to_downtown,good_school_nearby,crime_rate
585000.0,1400.0,4.5,54.0,0.020819286563191142,1,2904.785316289741
345000.0,1766.0,5.5,77.0,0.18478422608544826,0,25288.574379195423
420000.0,1788.0,6.5,28.0,0.1853678435166187,0,28139.762547097856
460000.0,1369.0,4.5,51.0,0.01106212316873056,0,2904.785316289741
175000.0,2000.0,6.5,105.0,0.14499203503986474,0,7719.079035052647
447500.0,1080.0,4.5,62.0,0.18478422608544826,0,7114.375655823714
206000.0,600.0,2.5,41.0,0.020819286563191142,1,2904.785316289741
251250.0,750.0,2.5,19.0,0.03922009578009744,0,2904.785316289741
115000.0,1286.0,4.5,101.0,0.1853678435166187,0,17733.0605022223
218750.0,850.0,2.5,52.0,0.07580404372459201,0,7054.518834068045
190000.0,1400.0,6.5,107.0,0.11023203296682615,0,11376.086763662172
132000.0,1081.0,5.5,101.0,0.10720516383551855,0,17603.116252402953
264000.0,762.0,2.5,10.0,0.021785581011310808,0,3837.029234079716
200000.0,1090.0,3.5,60.0,0.12907841092917058,0,11376.086763662172
362500.0,1100.0,4.5,19.0,0.03922009578009744,0,2904.785316289741
314000.0,1800.0,5.5,65.0,0.14236071032767572,0,7601.2853819639
330000.0,900.0,5.5,92.0,0.13997192736402433,0,5795.235513793518
895000.0,2600.0,5.5,16.0,0.054355448236574705,0,3777.5624574451367
260000.0,2000.0,5.5,57.0,0.13997192736402433,0,5795.235513793518
255000.0,1200.0,3.5,58.0,0.11218549405337261,0,5795.235513793518
195000.0,600.0,2.5,61.0,0.13029191264234166,0,9124.978026707402
477500.0,2750.0,7.5,61.0,0.07580404372459201,0,8511.792815490344
711000.0,1500.0,4.5,25.0,0.05911609710560861,0,7054.518834068045
105000.0,1552.0,4.5,127.0,0.14411971125769393,0,22561.837910110047
410000.0,1139.0,4.5,34.0,0.01106212316873056,0,2904.785316289741
80000.0,1040.0,3.5,104.0,0.11349839277275987,0,6974.401816971907
275000.0,880.0,2.5,18.0,0.021785581011310808,0,2904.785316289741
265000.0,763.0,2.5,57.0,0.042209195893784565,1,7844.505791586083
345000.0,984.0,3.5,64.0,0.21489713435268573,0,6447.212058667166
630000.0,1677.0,4.5,21.0,0.05911609710560861,0,7054.518834068045
705000.0,2940.0,7.5,1.0,0.06853812406245294,0,3260.7521071968877
260000.0,1380.0,8.5,71.0,0.10895416953930147,0,16328.017832647462
225000.0,1152.0,4.5,72.0,0.15861097639507712,0,11986.71497584541
225000.0,1152.0,4.5,72.0,0.15861097639507712,0,7817.472947167409
485000.0,2076.0,6.5,143.0,0.05553214213407627,0,5864.192070203994
895000.0,2000.0,5.5,20.0,0.05911609710560861,0,7054.518834068045
293500.0,990.0,3.5,129.0,0.09462213905846716,0,8511.792815490344
270000.0,1400.0,5.5,70.0,0.14236071032767572,0,7601.2853819639
525000.0,2300.0,5.5,22.0,0.09527791156925401,0,18637.975367403185
195000.0,1600.0,5.5,79.0,0.19221851766414752,0,6835.523660579154
230000.0,1038.0,4.5,70.0,0.20148915693406225,0,19776.93095003107
230000.0,1038.0,4.5,70.0,0.20148915693406225,0,8786.617387192315
535000.0,1600.0,4.5,53.0,0.042209195893784565,1,7844.505791586083
493000.0,1500.0,4.5,24.0,0.054355448236574705,0,3777.5624574451367
151000.0,744.0,2.5,50.0,0.21489713435268573,0,10774.573547820564
300000.0,1104.0,5.5,60.0,0.1853678435166187,0,26129.961201455408
176900.0,900.0,3.5,100.0,0.13029191264234166,0,9124.978026707402
467500.0,625.0,2.5,2.0,0.023680618340745162,0,2904.785316289741
500000.0,1659.0,7.5,74.0,0.18478422608544826,0,26997.56421130467
519500.0,1100.0,4.5,53.0,0.042209195893784565,1,7844.505791586083
395000.0,1260.0,5.5,127.0,0.054355448236574705,0,3777.5624574451367
500000.0,1872.0,5.5,64.0,0.16976707020208254,0,6878.255747602481
721000.0,2445.0,5.5,18.0,0.03922009578009744,0,2904.785316289741
220000.0,1200.0,3.5,96.0,0.09462213905846716,0,28968.237034508264
249900.0,1200.0,4.5,41.0,0.2123713195725732,0,6447.212058667166
515000.0,1215.0,4.5,16.0,0.03922009578009744,0,2904.785316289741
180000.0,1400.0,6.5,63.0,0.18551296185981136,0,6835.523660579154
229000.0,995.0,2.5,19.0,0.09527791156925401,0,5937.307141138691
600000.0,2159.0,4.5,81.0,0.16976707020208254,0,6878.255747602481
